,interaction,session_notes
0,0.10966769108349986,tickling
1,0.024997042016694664,tickling
2,0.016509305470028213,tickling
3,0.008397659404370802,tickling
4,0.10066097105803606,tickling
5,0.03309083268116817,tickling
6,0.0,tickling
7,0.024750800688402293,tickling
8,0.0690137679329606,tickling
9,0.00843992964474649,tickling
10,0.3187467776194343,conspecific
11,0.5088355924624632,conspecific
12,0.12811429178849534,tickling
13,0.05148789175363691,tickling
14,0.07221173327913341,tickling
15,0.22159368153638748,tickling
16,0.07647338119377045,tickling
17,0.10312477156862114,tickling
18,0.05122156592699358,tickling
19,0.026480666465413607,tickling
20,0.05965353325382468,tickling
21,0.03457874444578917,tickling
22,0.13065917607092326,conspecific
23,0.3519984865381292,conspecific
24,0.4034954954893644,conspecific
25,0.0648389493126145,tickling
26,0.05029583921622631,tickling
27,0.06831893540965145,tickling
28,0.06628320279771746,tickling
29,0.24846408709766107,tickling
30,0.23050822352648917,tickling
31,0.0777964570328131,tickling
32,0.025689869517218702,tickling
33,0.14246201799060162,tickling
34,0.05130678378295174,tickling
35,0.48548791151410975,conspecific
36,1.221699458878107,conspecific
37,0.025528713541157932,tickling
38,0.0,tickling
39,0.00856551591815478,tickling
40,0.025477098961105824,tickling
41,0.03399796544259888,tickling
42,0.05077575800117651,tickling
43,0.0,tickling
44,0.017139723022075993,tickling
45,0.008714247620574676,tickling
46,0.0650754914868651,conspecific
47,0.5722069740395664,conspecific
48,0.33502106275750204,conspecific
49,0.36356967849393435,tickling
50,0.18012860993272417,tickling
51,0.08927850619936639,tickling
52,0.016895573528691213,tickling
53,0.037552479590227304,tickling
54,0.11802529474091389,tickling
55,0.0,tickling
56,0.008532073771722671,tickling
57,0.008689863968869435,tickling
58,0.008689894174468754,tickling
59,0.2234742465692004,tickling
60,0.12206727597405208,tickling
61,0.051500184933921965,tickling
62,0.0,tickling
63,0.0,tickling
64,0.009374197334353247,tickling
65,0.0,tickling
66,0.03420545850706857,tickling
67,0.016269951027447407,tickling
68,0.0,tickling
69,0.036142268439861125,tickling
70,0.38670527113156317,tickling
71,0.04713955826132157,tickling
72,0.17491378302662886,tickling
73,0.010329980910195278,tickling
74,0.04700360213892833,tickling
75,0.03419348955958784,tickling
76,0.017583685153567122,tickling
77,0.10758958495404986,tickling
78,0.3060721742656464,conspecific
79,0.06241762132983303,tickling
80,0.0,tickling
81,0.018703615034713936,tickling
82,0.07594762373362487,tickling
83,0.01740020114632523,tickling
84,0.04442980740337035,tickling
85,0.028809320097383496,tickling
86,0.02765792676180995,tickling
87,0.018071320272587805,tickling
88,0.0587277477498922,tickling
