,iji,strain
0,3.9713999999999956,unselected
1,0.7737000000000052,unselected
2,0.3036999999999992,unselected
3,1.211500000000001,unselected
4,0.6051999999999964,unselected
5,23.460100000000004,unselected
6,2.793199999999999,unselected
7,3.9723999999999933,unselected
8,7.774300000000011,unselected
9,6.125999999999991,unselected
10,0.9765000000000015,unselected
11,0.7061000000000064,unselected
12,17.535799999999995,unselected
13,23.0899,unselected
14,7.27000000000001,unselected
15,7.842899999999986,unselected
16,1.178200000000004,unselected
17,0.4035000000000082,unselected
18,1.178200000000004,unselected
19,70.9846,unselected
20,62.36899999999997,unselected
21,0.6727999999999952,unselected
22,0.30260000000004084,unselected
23,0.33689999999995734,unselected
24,0.8413000000000466,unselected
25,0.7070999999999685,unselected
26,5.217199999999991,unselected
27,0.6394999999999982,unselected
28,0.8746000000000436,unselected
29,0.7746999999999957,unselected
30,26.31989999999996,unselected
31,56.781600000000026,unselected
32,44.63040000000001,unselected
34,1.2010000000000005,unselected
35,0.36700000000000443,unselected
36,1.1679999999999993,unselected
39,0.4008999999999787,unselected
40,0.3669999999999618,unselected
41,0.4339999999999691,unselected
42,1.8009000000000697,unselected
44,0.3999999999999986,unselected
45,0.4339999999999975,unselected
46,1.1010000000000062,unselected
47,1.3019999999999996,unselected
48,12.178099999999993,unselected
49,1.2350000000000065,unselected
50,0.3999999999999986,unselected
51,22.656099999999995,unselected
52,1.668999999999997,unselected
53,37.6041,unselected
54,1.1340000000000003,unselected
55,0.40100000000001046,unselected
56,0.9009999999999962,unselected
57,0.5,unselected
58,0.8340000000000032,unselected
59,24.52509999999998,unselected
60,0.4000000000000057,unselected
61,0.3340000000000032,unselected
62,0.5,unselected
63,0.4339999999999975,unselected
65,493.25540000000007,unselected
67,1.469000000000051,unselected
68,2.1680999999999813,unselected
69,0.935100000000034,unselected
70,3.0031000000000176,unselected
71,4.304300000000012,unselected
72,4.037199999999984,unselected
73,0.9679999999999609,unselected
74,1.101099999999974,unselected
75,1.2010000000000218,unselected
76,2.5031999999999925,unselected
77,1.5009999999999764,unselected
79,312.8107,unselected
81,306.9717,unselected
82,0.5,unselected
83,10.109900000000039,unselected
84,3.970999999999947,unselected
85,0.5340000000000487,unselected
86,0.5,unselected
87,5.4728999999999814,unselected
88,3.8700000000000045,unselected
89,48.64859999999999,unselected
90,0.5,unselected
91,14.88190000000003,unselected
92,5.771999999999991,unselected
93,3.8369999999999322,unselected
94,0.50100000000009,unselected
95,0.5339999999999918,unselected
96,0.5339000000000169,unselected
97,4.436999999999898,unselected
98,0.50100000000009,unselected
99,0.5670000000000073,unselected
100,0.5670000000000073,unselected
101,0.6339999999999009,unselected
102,0.50100000000009,unselected
103,0.5,unselected
104,8.875900000000001,unselected
105,1.7679999999999154,unselected
106,0.5339999999999918,unselected
107,0.50100000000009,unselected
108,3.269999999999982,unselected
109,2.6359999999999673,unselected
110,0.5330000000000155,unselected
112,1.4350000000000023,unselected
113,1.2679999999999936,unselected
114,3.3369,unselected
115,2.0690000000000026,unselected
116,1.801000000000002,unselected
117,11.578799999999994,unselected
118,68.2671,unselected
119,72.1711,unselected
120,1.7350000000000136,unselected
121,15.448800000000006,unselected
122,2.501899999999978,unselected
123,1.6690000000000111,unselected
124,0.5999999999999943,unselected
125,1.100999999999999,unselected
126,2.8029999999999973,unselected
127,26.893599999999992,unselected
128,22.455700000000036,unselected
129,0.5,unselected
130,0.5009999999999764,unselected
131,24.123699999999985,unselected
132,21.720700000000022,unselected
133,0.46800000000001774,unselected
134,0.46699999999998454,unselected
135,0.46699999999998454,unselected
136,0.46699999999998454,unselected
137,0.4340000000000259,unselected
138,0.5,unselected
139,0.5009999999999764,unselected
140,0.5339000000000169,unselected
141,0.5670000000000073,unselected
142,0.46699999999998454,unselected
143,0.5670000000000073,unselected
144,18.651800000000037,unselected
145,0.46699999999998454,unselected
146,23.89069999999998,unselected
147,1.4349000000000274,unselected
148,0.46699999999998454,unselected
149,0.8340000000000032,unselected
150,0.6009999999999991,unselected
151,24.823699999999974,unselected
152,25.091700000000003,unselected
153,1.20089999999999,unselected
154,0.6680000000000064,unselected
155,0.9010000000000105,unselected
156,2.1020000000000323,unselected
157,44.71039999999999,unselected
158,0.6339999999999577,unselected
159,0.5340000000000487,unselected
160,0.5339999999999918,unselected
161,0.5670000000000073,unselected
162,0.5669999999999504,unselected
163,0.7340000000000373,unselected
164,0.46699999999998454,unselected
165,0.4340000000000259,unselected
166,20.520699999999977,unselected
167,0.5,unselected
168,0.6340000000000146,unselected
169,0.40100000000001046,unselected
170,0.5,unselected
171,0.5339999999999918,unselected
172,0.46690000000000964,unselected
173,0.5009999999999764,unselected
174,0.8339999999999463,unselected
175,0.5,unselected
176,0.5670000000000073,unselected
177,8.808899999999994,unselected
178,0.8680000000000518,unselected
179,0.5,unselected
180,2.502899999999954,unselected
181,0.43400000000008276,unselected
182,0.5670000000000073,unselected
183,2.5359999999999445,unselected
184,0.5,unselected
185,0.46699999999998454,unselected
186,0.7010000000000218,unselected
187,0.5339999999999918,unselected
188,8.908900000000017,unselected
189,0.4999000000000251,unselected
190,0.46699999999998454,unselected
191,0.7010000000000218,unselected
192,0.8339999999999463,unselected
193,11.010899999999992,unselected
194,0.46699999999998454,unselected
196,0.43299999999999983,unselected
197,8.341899999999999,unselected
198,2.236000000000004,unselected
199,0.9669999999999987,unselected
200,0.46699999999999875,unselected
201,0.46699999999999875,unselected
202,0.5339000000000027,unselected
203,69.8694,unselected
204,0.40099999999999625,unselected
205,0.9339999999999975,unselected
206,0.534000000000006,unselected
207,22.7218,unselected
208,0.5010000000000048,unselected
209,97.6971,unselected
210,0.6669999999999732,unselected
211,0.5340000000000202,unselected
212,0.46699999999998454,unselected
213,0.46700000000001296,unselected
214,0.4339999999999975,unselected
215,0.4000000000000057,unselected
216,19.586799999999982,unselected
217,0.4000000000000057,unselected
218,0.46700000000001296,unselected
219,20.753799999999984,unselected
220,1.100999999999999,unselected
221,1.2010000000000218,unselected
222,0.4679999999999609,unselected
223,0.43300000000004957,unselected
224,1.634999999999991,unselected
225,5.338899999999967,unselected
226,0.6009999999999991,unselected
227,0.4329999999999927,unselected
228,0.5010000000000332,unselected
229,0.5339999999999918,unselected
230,0.39999999999997726,unselected
231,46.4126,unselected
232,0.5010000000000332,unselected
233,1.1680000000000064,unselected
234,0.39999999999997726,unselected
235,0.5,unselected
236,1.7690000000000055,unselected
237,0.4340000000000259,unselected
238,0.46699999999998454,unselected
239,10.643899999999974,unselected
240,0.36700000000001864,unselected
241,2.668900000000008,unselected
242,0.40100000000001046,unselected
243,0.8999999999999773,unselected
244,0.5010000000000332,unselected
245,0.6009999999999991,unselected
246,0.4329999999999927,unselected
247,0.5339999999999918,unselected
248,0.5009999999999764,unselected
249,20.786800000000028,unselected
250,9.909899999999993,unselected
251,0.39999999999997726,unselected
252,2.2030000000000314,unselected
253,35.80169999999998,unselected
254,3.536900000000003,unselected
255,1.4680000000000177,unselected
256,0.700999999999965,unselected
257,1.634999999999991,unselected
258,0.20000000000004547,unselected
259,0.5339999999999918,unselected
260,0.5,unselected
261,0.5679999999999836,unselected
262,89.98920000000004,unselected
263,12.244899999999916,unselected
264,0.43400000000008276,unselected
265,3.6368999999999687,unselected
266,1.5009999999999764,unselected
267,3.2040000000000646,unselected
268,0.46699999999998454,unselected
269,0.46699999999998454,unselected
270,0.5,unselected
271,0.4679999999999609,unselected
272,0.5,unselected
273,0.39999999999997726,unselected
274,0.6009999999999991,unselected
275,2.469000000000051,unselected
276,0.46690000000000964,unselected
277,0.5339999999999918,unselected
278,0.6009999999999991,unselected
279,0.5,unselected
280,0.6009999999999991,unselected
282,15.7828,unselected
283,5.539299999999999,unselected
284,0.6010000000000026,unselected
285,21.6891,unselected
286,0.8010000000000019,unselected
287,1.4010999999999996,unselected
288,59.962999999999994,unselected
289,24.32520000000001,unselected
290,3.971199999999982,unselected
291,0.4340000000000259,unselected
292,21.556099999999986,unselected
293,1.2340000000000089,unselected
294,0.801099999999991,unselected
295,77.0478,unselected
296,46.41530000000003,unselected
