,cluster,duration,Principal frequency [kHz],Slope [kHz/s],Frequency standard deviation [kHz]
0,2,0.014843750000011369,69.56658983224486,-1324.4070462779546,6.207630851098227
1,2,0.0123632812499892,65.11982072074458,-1187.146456543811,5.676221013026775
2,2,0.012812500000009663,69.9488957491788,-350.3739522673842,2.248359058802725
3,2,0.02089062500000693,65.20146560668945,-375.8543841503076,3.028729538004192
4,2,0.10442187499999987,6.3200859436231624,-5.13213341019453,1.4726589493829751
5,2,0.03674999999999784,5.528466647286368,-18.94658141166064,2.1685376617886587
6,2,0.029539062500006708,5.888428781204097,-43.20331678188796,1.4589789863256024
7,2,0.01417968750000398,49.40416290713513,-665.2296666445792,5.410688149112822
8,2,0.011367187499999432,54.919658934764364,99.53674265037641,2.049640368705115
9,2,0.02939062500000489,4.7672798000875645,-40.750268935434384,0.9657161056870368
10,3,0.003886718749996021,72.0781478881836,-752.7465900933249,1.6190861620062105
11,3,0.004125000000001933,54.758435959206494,-1835.3763195868455,3.6961904350645938
12,2,0.022843749999992724,57.81848843524911,-703.2748383840419,5.363468509931474
13,2,0.012000000000000456,62.42720008534525,-612.6458856551927,4.448208770372871
14,2,0.04925000000000068,4.947425799848689,15.237390410440714,2.5863635870519293
15,2,0.01203125000000682,52.25494635445731,-903.6508832782124,3.848199682993801
16,2,0.006796874999992042,60.58591272639133,-784.9716672546622,2.1877414766046117
17,2,0.011578124999999773,51.994665918023564,-1195.6765285996055,5.902561874846422
18,2,0.033601562499995914,6.702580685475027,4.347062300091645,1.837670393093663
19,2,0.01907812499999295,6.230979430956224,-186.40653965994895,3.631127938054924
20,2,0.01068750000000307,63.04262678307333,-162.10959585679745,4.64151293778648
21,2,0.008378906250001705,60.36630121866861,-1912.8838641033767,5.9487774887094105
22,2,0.028390625000000117,10.678921330201904,-5.262322717968601,0.2519999174544736
23,2,0.005234374999986358,30.560394701270614,-2535.9425096738532,4.959787918503495
24,2,0.04992187499999545,58.13055947867546,252.69848040250298,6.755181375889412
25,2,0.033632812500002274,33.64533526404445,174.59626400808557,4.013950396836859
26,2,0.06481250000001637,65.17391295757463,-823.1723948282372,17.01973813581457
27,2,0.021296874999990226,65.97965036624323,-9.93627975503457,2.141648362442077
28,2,0.030937499999993182,64.16376373856869,-336.18040752337174,10.663999351432762
29,2,0.026796875000002274,61.56008068801183,-301.3504000856446,4.554161133768769
30,2,0.01645312499999818,64.65056266082577,-178.72484776526287,6.437834103861397
31,2,0.016496093750049567,39.775336192204406,-2491.489402183084,15.727226875448167
32,2,0.034312499999998636,8.986688373874712,-92.74741685697796,2.5567941553870464
33,3,0.0033906249999517968,35.282579075425794,-3221.431643625188,4.412885029741234
34,2,0.027843749999988177,55.69516964458973,-583.0077672571832,6.543062802245671
35,2,0.012550781250013188,66.92810499901864,-1089.175163895589,4.896160976798426
36,3,0.004335937500002275,67.46102679673061,102.03014073981814,1.1534888049514334
37,2,0.006679687500025011,50.93449322012968,713.1947792902505,1.923080676545916
38,2,0.011015624999970441,55.470974264075956,-1908.657878930575,11.406595472273374
39,2,0.04867187500002501,53.46412930135556,353.97772967688127,18.329652223324953
40,2,0.014062499999965894,57.28832116788322,-1502.9677419354846,11.301969674287687
41,2,0.034218749999979536,72.49537766385241,1246.0344208704726,16.343959682411228
42,2,0.013878906249999544,72.22075722104027,-160.28566537041098,3.0299594170607342
43,2,0.030773437499988177,59.251394328504496,47.37204582074182,1.4995212123500017
44,2,0.011769531249967713,68.4357240982638,-668.3060427713998,3.8367140315786217
45,2,0.004675781250000455,88.19059274362965,-1087.5768231949373,1.8119931480727507
46,2,0.02232421874998636,64.36374695863748,-554.688110794661,6.24228993037645
47,2,0.006425781249959073,82.71286075398073,-352.0760365362662,1.2368004611244887
48,2,0.015234375000034106,83.62762213700655,-575.3212795651333,4.1425864323368025
49,3,0.0027656249999949978,66.33115245519059,-2392.1284834634585,2.96492988808461
50,2,0.00873437500001728,51.98252597433983,1412.5465566052521,4.735645456382739
51,2,0.024476562500012733,66.16955219759485,16.621202696173988,1.9688617141088793
52,3,0.002843750000010914,60.483517279991744,1780.6545103248404,2.8307146264612726
53,2,0.008531249999975898,49.277657536097934,-1979.0263566661088,8.337717231902346
54,2,0.011484375000009095,37.636558306725675,97.68290337010751,1.0631577865520094
55,2,0.01701562499999909,65.94541442003204,126.66959854999052,2.30523155394519
56,3,0.0031835937499522515,40.60088244245096,-1198.0793943532487,1.696390203264225
57,2,0.01640624999998863,58.26659561446493,379.1194946993135,2.733225936941816
58,2,0.013125000000002274,71.07985349382673,-132.82636004254192,0.8352428613524102
59,3,0.002609375000020009,43.91697347731817,-1635.1297405189594,2.0585533083590546
60,2,0.019593750000012733,67.19156880964313,-177.6006606416619,1.3000628177332534
61,2,0.01695312499998636,59.04753004301578,-196.59444083958667,1.627579335009222
62,2,0.018937500000049567,64.52006318416501,-527.6978395767039,5.522046049635563
63,5,0.011179687500032287,60.23813105075159,-344.7293323554278,13.648638250416191
64,2,0.013507812499994998,55.369563931324436,-155.78710742531504,2.1456535945290423
65,2,0.006222656249974534,52.514577672722645,857.258165351862,2.304117902036454
66,2,0.02162890624998681,66.64456156680458,-1692.1569543506641,12.759310402060349
67,2,0.027734375000022737,66.19078437697823,481.4264914182037,7.0572830373548365
68,2,0.012093749999962709,63.637638031068704,-1895.3464519976142,9.629283411230906
69,2,0.009749999999996815,47.79530890883913,-620.2665826063036,2.6130829509750284
70,2,0.006015624999974989,53.43216372183545,-56.163444398738356,0.2047730045065114
71,2,0.011101562500016373,36.274940752515604,1.8401586777452807,1.1290797312532548
72,2,0.017296874999999545,67.20674986405804,-550.4567886401367,5.791165966987928
73,2,0.016664062500012733,62.47718404260203,-655.7111470617009,3.523014369220612
74,2,0.01218749999998181,78.37886554855966,-1470.3610117730796,7.280778380171973
75,3,0.003109375000008185,66.48810867309571,-987.979899497476,1.6063872509454251
76,2,0.026953125000034103,70.44382864910624,-151.8801803111824,3.2094055670759123
77,2,0.007414062500004094,61.689168994929524,-1107.0891026160793,3.014115438575936
78,2,0.008507812499999545,64.16525625010006,-2071.5610247362074,6.18351799881569
79,2,0.008234375000029104,62.10288077858881,-698.1430806618001,11.474081323671285
80,2,0.02203906250002774,58.173783745270605,-516.3859560579249,5.546984422187143
81,2,0.015609374999996815,50.089859932925634,-4030.270245640672,20.000520503998192
82,2,0.0070078125000350155,66.56677869383326,-792.1858977223387,2.6690899996440174
83,2,0.011050781249991816,65.4669570677341,240.1793269302132,6.4900361210004345
84,2,0.01701562499999909,66.7399739747888,-1073.0093993131643,6.959365198940861
85,2,0.010093750000010004,62.670316301703174,-670.4197161000395,7.242660233969464
86,2,0.013015624999979993,62.399435149836656,-382.6493614124403,1.8300864042690583
87,3,0.004265624999959528,62.48639472426882,-1786.9295872960465,5.1563253567076766
88,3,0.002359375000025921,62.57414521705723,1855.9776925758044,1.938671904542541
89,2,0.0076562499999681686,66.64639954444272,573.5601627122745,1.8218961064839403
90,2,0.014191406249949525,66.17493568817315,-507.5540816446466,2.962138836299953
91,2,0.006609374999982265,63.713472174588965,-352.1169138190412,1.4717070685466296
92,2,0.009343749999970896,64.1932371388311,-850.4152418172922,3.203862403337089
93,2,0.007125000000030469,63.122029747059145,-913.5357246812416,7.903274282672827
94,2,0.0164140624999618,61.38564476885645,112.41344367505484,0.9639984073082952
95,2,0.07687500000002956,63.943676933119704,131.53838639466213,6.649457417326168
96,2,0.02322265624997044,68.72506147217982,-169.6886034078436,2.3292041587819976
97,2,0.017968749999965894,66.73335325911239,-306.37279345766467,3.79989773419732
98,2,0.013925781250009095,64.2789061673543,-3723.7916399532537,17.28768295210645
99,2,0.040359374999979984,63.92679835685157,-152.04274546775895,2.7689939651723017
100,2,0.00484374999996362,69.07795246116414,-1490.6865177832917,3.6490021371969457
101,2,0.011089843749971351,63.9176448205274,-1326.510028459053,5.421157338792041
102,2,0.0164414062500029,60.65849221271017,-900.3778652370182,4.8670440858646185
103,2,0.07717968750000638,8.140111895913812,-1.2474612016996978,4.296767856675885
104,2,0.006210937500014779,66.36190567016601,-3032.773013150373,7.912245974667141
105,3,0.0043828125000118226,78.89151906115606,-495.55980351828043,13.601497490476296
106,2,0.008757812499993634,49.70423206361402,249.14815167815564,5.557453405727196
107,2,0.03214062500001092,65.56038836215403,169.14881123645253,4.785296279941259
108,2,0.013812500000000227,60.634571221456575,305.70960732277314,3.304588976217075
109,2,0.01465625000000159,49.11611593005646,-664.9600225096691,4.579134992751387
110,2,0.02335156249998249,56.647353779185906,-1858.6937602035453,14.614170357103268
111,2,0.04807812499998931,58.69741111955474,-373.18070301936814,8.884042840066643
112,2,0.00685546875001819,52.16675497561085,-41.94482248717621,0.8505927710232286
113,2,0.0055468750000216005,52.71173391808997,-831.5935990663597,2.8462521627358752
114,3,0.0033398437500125056,49.78868271583735,286.4836509879345,0.9114380438262988
115,2,0.009808593749994543,58.43080632279559,1545.321207529442,13.37734607313108
116,2,0.027328124999996817,84.0849887533252,-712.7381792285753,12.692516189254118
117,2,0.006960937499997044,72.9640367894085,-2274.127392619688,7.1570781081953365
118,2,0.014195312499992953,67.75239042366076,200.61782574820262,3.4946566646553667
119,2,0.0074648437500002265,65.75266081621858,-1141.7949966969188,3.751713054729818
120,2,0.024277343750014783,35.181286761635235,-925.3284464519428,16.340217894421748
121,3,0.003691406249998863,41.61057247835047,-921.6329154612661,4.347107909192476
122,2,0.006367187499989768,42.94096591118317,-479.1751118849721,6.1057895697507725
123,3,0.00318749999999568,39.971835793800714,13931.442350402933,19.08201267577955
124,2,0.011742187500004777,52.630037761869886,763.6594941984165,4.173124247658408
125,2,0.0133593750000216,67.68922323929635,840.8306470203657,5.261641886926589
126,2,0.0056445312499704406,63.010788906321814,-3332.485743159033,26.253697898074908
127,2,0.006140625000000455,109.09390730530252,-1164.5521310459296,3.870633771618832
128,2,0.015156249999961346,69.32496121464943,-1113.5200801762603,10.954680070823024
129,2,0.01218749999998181,50.17223838185579,-28.399593466105976,0.9766178655278774
130,2,0.010093750000010004,68.5011115970552,-1386.482389075695,5.560584848169613
131,2,0.015007812500016373,79.97065617229445,27.53448250661129,2.115306227887856
132,3,0.004156249999994088,60.50429745367136,-3704.9013511221656,7.893945936434226
133,5,0.02070312500001137,61.44607740027882,2150.879063675688,15.191161436935936
134,3,0.0035664062500018186,53.68498320806594,5406.577358384583,26.44209708101157
135,3,0.004195312500030468,43.498902808295355,-2482.510380882989,4.921587618986177
136,2,0.008980468749996362,52.34090463547479,-584.7447608213163,1.9593449165192032
137,3,0.0033906250000086398,47.59619704080284,692.681689426288,1.4620065582959247
138,3,0.003789062499947704,38.681320483867935,98.99324043653937,1.0719134600897329
139,2,0.004570312499993179,44.47722683922719,388.38449685907364,3.071608864917279
140,3,0.002578124999956799,39.80169930515519,119.63490324936113,0.5452389638064946
141,5,0.013671875,29.008667510348285,1803.9289977504639,9.165146834569416
142,2,0.010062500000003638,54.1513270306331,-493.36326807772275,18.71910514508161
143,2,0.007328124999958162,63.99300276343502,2750.3930242179304,9.53083600817326
144,2,0.008378906250015916,87.77533891465929,1007.2913752913754,3.84239784041439
145,2,0.009195312499969077,36.33299829349962,-84.14960536708274,0.5920321047883926
146,3,0.0034453124999913602,61.199978504412925,-162.4719858789003,2.2321456569004607
147,2,0.017359374999955438,80.40756514976766,10.946610552815736,3.34261921430375
148,2,0.012320312500037291,68.10326634481282,-365.9127423518596,3.3870367638643617
149,2,0.018390624999995,64.43307919368566,-49.99399599064805,0.4706068291406013
150,2,0.005484374999980446,65.7893504003051,-108.21300592750566,1.2962231186981852
151,2,0.005589843750044565,57.612210845947274,-1217.7930245854766,2.3551362310207598
152,3,0.003140625000014552,56.13870722452799,-711.6165205717434,2.099834980094372
153,2,0.057187499999997726,59.13528874504121,50.09743793578679,4.137265381681509
154,2,0.03749999999996589,71.32986104540934,-1257.6038224781214,14.808406688102412
155,2,0.03234374999999545,81.14260534097635,1061.2723032270096,17.37540464369999
156,3,0.002406249999978627,42.08184660634687,2745.538332635107,3.354441663849687
157,3,0.002562499999953616,66.348585209702,242.1877309682197,0.34692933469087633
158,2,0.016156249999994543,72.50523847214721,17.438673791098456,3.679816468656531
159,2,0.00763671875000682,65.74711575439048,190.12165743753602,5.4777945246078055
160,3,0.0035859375000200093,104.80507633450031,4234.251134993584,10.41381910366988
161,3,0.0032656249999831748,66.10278721598836,-19206.515972066223,29.782876171876016
162,2,0.005687500000021828,91.27228596446278,4.950008566141676e-13,1.3619282096553558
163,2,0.0052734375000227365,46.431039342817094,-403.3254398287469,4.410120028143424
164,2,0.012289062500030923,47.40415318806966,-356.6490369106759,4.168643109884243
165,2,0.010757812500003185,65.08691371570934,-348.8983897652633,2.2943697150236777
166,2,0.018046875000038654,69.2569655876655,-620.0070362531873,3.997432572682504
167,2,0.01434375000002319,58.69247851406571,-1777.9469871680542,8.055003800915214
168,2,0.005031250000001819,84.02225249490621,-1067.8935664442904,2.5636770151679715
169,2,0.02675781249996589,61.11206767870032,-347.89608795694636,6.17857143409781
170,2,0.012468749999982265,58.559342169064166,-2696.468307199781,16.896130536147243
171,2,0.015093750000005457,60.43620830226589,-433.61542946224233,2.4108263488928685
172,2,0.007718750000037744,74.68620329636794,-1995.4264359122656,6.535836577157786
173,2,0.015625,69.41444790649413,-1310.7199999999993,7.6719796504928075
174,2,0.007539062499972716,40.91205183992681,378.6048218345829,1.6352849788887158
175,2,0.013281250000034106,34.36694330360457,609.6415440793364,2.365111638722518
176,3,0.004101562500011369,41.54156962308016,721.9294990723556,1.701909939436275
177,3,0.004031250000025466,44.51231404122589,82.07875399000838,0.9358879549168846
