,Anogenital,Body,Boxing,Facial,Mounting,Pinning,Break
0,0.16855447680690383,0.27352048212543695,1.0622933902587717,0.29407440082341363,0.8277984456866823,1.198720135732003,0.0236562650069431
1,1.094783201646551,0.9308315835734188,0.41135335252982597,0.22791113744750774,1.5927189988623502,1.8484288354899052,0.11501132739222342
2,0.0,0.1914393430822755,0.20232032509985823,0.0,0.5788004681852695,0.5953499764836759,0.07485660282022251
3,0.4967413765697025,0.29440658479064535,1.0016617311283063,0.0,0.8357691605578539,1.595402985411043,0.24455857177794119
4,0.15843926758807866,0.3982253038280379,1.0475328506301926,0.08570228739405075,1.5591230201825785,1.5929232162494353,0.1888079671927277
5,0.4650567950610969,1.5388113486188644,1.3464084554450977,0.0,0.8331376722133443,1.6424406668309137,0.315281497114189
6,2.400494399697641,1.5907438188240204,1.987193640980338,1.4848789823629462,1.7326017903551794,5.464480874317157,0.3374656919380586
7,0.0,0.07234127720936248,0.20338224676368066,0.0,0.03610212569316088,0.4690802481761773,0.0
8,1.6380125690164438,1.333470384456179,1.3247762600094235,0.0,1.3441821223777732,1.2260423526149788,0.5839474514030584
9,0.6618133686300461,0.7455031251491014,0.4868045540566041,0.5554012774229328,0.7799054754563707,0.7908249523749693,0.05708825630343551
10,0.13802876519466656,0.12744665720162826,1.1537707149917147,0.17242122505280422,0.19117394034490728,1.8900247884020358,0.1402680023800313
