,Intro,Break,Dorsal,Dorsal gentle touch
0,0.0,0.0038372411157315783,0.016795318808741605,0.0
1,0.0,0.0038575811885824852,0.1320071019820865,0.06931484013398562
2,0.015382722126507507,0.003962624525475713,0.06618166536233634,0.0
3,0.03461429293383824,0.01668554914645073,0.0,0.0
4,0.0,0.0,0.04950160137680459,0.0
5,0.032102007338518875,0.0,0.10469742444335874,0.03333011142256246
6,0.0,0.0,0.0,0.01687985928949298
7,0.10937141125056835,0.0314242820140765,0.12186332505823319,0.1343652585187575
8,0.11934384752630041,0.15864184012152738,0.052899417048424144,0.050076366458849685
9,0.0303641266062623,0.0926846593542178,0.017408925207775528,0.12701454135049128
10,0.3108669769119096,0.4289359427822228,0.2061522709390578,0.23703509213371715
11,0.03170944005885272,0.06230942079499032,0.10390599970559969,0.0490407626819412
12,0.5758889312590955,0.27714081790709333,0.17189189375018274,0.034357649387059534
13,0.0,0.061827122863244995,0.05119174379556063,0.051251388058426536
14,0.0,0.0,0.052961332930827214,0.0
15,0.0,0.02691272587466359,0.08378788259641888,0.03551918391123047
16,0.0,0.011548793266591573,0.06915748889157834,0.0
17,0.0,0.02656446683786834,0.129677898625229,0.0
18,0.029240150820697933,0.0038462677548527406,0.06658443488957802,0.03400724354287459
19,0.0,0.011482383344726411,0.10249244545266636,0.03414542536663653
20,0.0,0.003920644585334985,0.048123349770130816,0.08444305582530412
21,0.06158602489922987,0.01565933431386865,0.4315818304049402,0.06534634379038196
22,0.0,0.007850852641851171,0.44464206313917315,0.016374383913805215
23,0.0,0.01139971386718193,0.13776025926480803,0.017832654800818172
24,0.0,0.011575208373042727,0.03319226620197496,0.018187472832462446
25,0.0,0.0038973576305000985,0.25122177523355227,0.03370226074765096
26,0.0,0.0,0.10261356756590348,0.0
27,0.015162496474719568,0.00768809993607345,0.034140645804456055,0.01691678127785981
28,0.0,0.003869951068338693,0.0,0.0
29,0.0,0.00763220117261139,0.0,0.01713103183630956
30,0.0,0.0,0.03383413492037979,0.01712006300183186
31,0.0,0.003857032160319855,0.05058655105953528,0.017409379825662485
32,0.0,0.007724653192039126,0.08445004442072342,0.017101471581629592
33,0.0,0.015467341867696991,0.0,0.0
34,0.014859039719699076,0.015154947976852328,0.034279446044151986,0.0
35,0.0,0.003822013421382333,0.0,0.017428495241149353
36,0.015224685914729578,0.2207636635624844,0.37927966039882705,0.34785969658904164
37,0.016083039951879544,0.1990937851935831,0.0691602390869465,0.2910969807785018
38,0.015575086714295281,0.09044501207064061,0.08551159879326029,0.09304541360547249
39,0.0,0.03569284451268918,0.033791147057382426,0.0
40,0.01590007123231912,0.048141408350979,0.0,0.07510495918045461
41,0.0,0.08172714723219873,0.10923072441816424,0.12681986506366352
42,0.0,0.038307189953096676,0.0,0.0
43,0.0,0.018777043637098336,0.0,0.017064147543445343
44,0.016110557086953508,0.06783396356110218,0.01737972793773887,0.0
45,0.016075955675375012,0.022818095662584255,0.017379788348937508,0.0
46,0.06259771111469309,0.16366376915265274,0.34375624081270545,0.10319225232569536
47,0.01511322830647209,0.09386888177972513,0.10058581176773518,0.14354874018036898
48,0.030861578106796492,0.1360343272908181,0.03520916001506948,0.06779120985277445
49,0.0,0.10158892605454951,0.0,0.0
50,0.0,0.021581119110512588,0.0,0.0
51,0.10702545676936014,0.04061759421250977,0.018748394668706495,0.0
52,0.0,0.025124356592146627,0.0,0.0
53,0.016267674828701385,0.04815658446831612,0.06841091701413714,0.0
54,0.015874074144625515,0.007333585364217019,0.03253990205489481,0.0
55,0.0,0.04212116036904262,0.0,0.0
56,0.06948008917769447,0.3177211766327195,0.02187800822613108,0.050406528653591166
57,0.01591041798259082,0.41018560511663965,0.34616569567189054,0.42724484659123574
58,0.0,0.2610199616019559,0.016646718349178222,0.07763239817346491
59,0.0,0.4112698119223115,0.2395399359138541,0.11028763013940357
60,0.07919223916056226,0.3839472721981627,0.020659961820390555,0.0
61,0.01583812172546833,0.0987963313628954,0.07490033574075496,0.01910686853710171
62,0.015640616177714936,0.26510649626666594,0.06838697911917568,0.0
63,0.12604161579049364,0.27099750795208316,0.0,0.035167370307134245
64,0.015574916907818297,0.20708489186285808,0.17420085358418252,0.04097831632391717
65,0.0,0.13279934582237402,0.11213671708547047,0.01314514740311042
66,0.03145336566739324,0.04038840723469462,0.0,0.0
67,0.0,0.022745624310523255,0.0,0.03740723006942787
68,0.05779770514211733,0.08798998967217496,0.11179242382743723,0.040102823639812504
69,0.0,0.06438845174180233,0.0,0.03480040229265046
70,0.030672541480778286,0.10749001974361329,0.017522126064688184,0.07133748874205252
71,0.06289041188503004,0.09206485637698272,0.01901053944306727,0.03860810075169972
72,0.01551503717402907,0.0442851491228588,0.0553158535236199,0.0
73,0.06210823291208424,0.04045865401414215,0.03614264054517561,0.0
74,0.015771651717769446,0.038676849507605034,0.05195956852774299,0.0654959269720414
