,rate,condition
0,0.0490578582608816,unselected
1,0.00589609865470191,unselected
2,0.0,unselected
3,0.0017629871772653636,unselected
4,0.0,unselected
5,0.008191505605283457,unselected
6,0.03345868123723193,unselected
7,0.0034955086209729116,unselected
8,0.015854839432095504,unselected
9,0.002773406965439328,unselected
10,0.04958004105867143,unselected
11,0.12179962424815922,unselected
12,0.12977159595523055,unselected
13,0.13675105624996386,unselected
14,0.03120784887254255,unselected
15,0.0015294200775538334,unselected
16,0.005825948336946635,unselected
17,0.0,unselected
18,0.015506664764515787,unselected
19,0.035181883300285814,unselected
20,0.015440070310649071,unselected
21,0.06320952693990038,unselected
22,0.002768934493239993,unselected
23,0.014765768400989839,unselected
24,0.01739444497330585,unselected
25,0.03849485724105203,unselected
26,0.1302081756199423,unselected
27,0.007621007887438325,tame mouse
28,0.0013816816917642236,tame mouse
29,0.0013964255137554195,tame mouse
30,0.0,tame mouse
31,0.0,tame mouse
32,0.0,tame mouse
33,0.0,tame mouse
34,0.0,tame mouse
35,0.0,tame mouse
36,0.0067004121758549974,tame mouse
37,0.0,tame mouse
38,0.0,tame mouse
39,0.0,tame mouse
40,0.15163520057158109,tame mouse
41,0.13598986471213703,tame mouse
42,0.12227371643930378,tame mouse
43,0.027169487578669656,tame mouse
44,0.3017267285352457,tame mouse
45,0.16414684461528517,tame mouse
46,0.12340277202236727,tame mouse
47,0.001373648450119322,tame mouse
48,0.0,tame mouse
49,0.0,tame mouse
50,0.0,tame mouse
51,0.0,tame mouse
52,0.0,tame mouse
